locus_id	gene	spearman_r	pvalue	padj
LNC_L00037	DIO2	-0.5708277911275749	0.0035787538414790675	0.33423066732491963
LNC_L00037	GRK4	-0.5757668365173301	0.0032388739594257474	0.3269798591481234
LNC_L00037	SLC39A12	-0.5730910459918591	0.003419446604368263	0.3303727593894053
LNC_L00037	SINHCAF	0.5021654961159353	0.012400668565343656	0.4813568204662047
LNC_L00037	RRP12	0.5085606797660844	0.011160583043490956	0.4681524756231881
LNC_L00037	COL8A2	0.5044903853081967	0.011937362319167952	0.47666736452937136
LNC_L00037	CXCL16	0.576460926022571	0.0031933748003493156	0.32575402117237623
LNC_L00037	PIEZO1	0.5073044511566547	0.011395739064875711	0.4708519830051942
LNC_L00037	FAM156A	0.5229257641921397	0.008744559861961059	0.4401096635139179
LNC_L00037	PHYHIPL	-0.5316184227207602	0.007506129112300785	0.4201393718230977
LNC_L00037	NCKAP5	0.5606334582829482	0.004376293720300128	0.36113487226775426
LNC_L00037	ARHGAP39	-0.5538816433783778	0.004982924701794443	0.37638355183315253
LNC_L00037	ZNF350	-0.5707457339838137	0.003584645502613386	0.33423066732491963
LNC_L00037	TRMO	0.5444586893175949	0.00594638594338694	0.39359000818542395
LNC_L00037	MPP2	-0.6987567396801225	0.00014576085502529515	0.09717390335019677
LNC_L00037	STEEP1	0.5104357890635544	0.010817036573284982	0.46653044137476596
LNC_L00037	ALDOC	-0.5503281034567817	0.005329580474353266	0.3829122509297599
LNC_L00037	SERPINA1	0.5323144104803493	0.007413641484074436	0.41896358054534955
LNC_L00037	QTRT2	0.518218838129356	0.009483007777575396	0.45048999936285195
LNC_L00037	PRKAG2	-0.6266973428124937	0.0010497361145664378	0.2184084923916643
LNC_L00037	DIPK1C	-0.5835433665939473	0.00275919404506177	0.3119453475629764
LNC_L00037	ST8SIA4	0.6945312032426171	0.00016616572218937223	0.10339200491783161
LNC_L00037	RAMP3	-0.5070886872543268	0.01143653651635884	0.4713783451296087
LNC_L00037	AMBRA1	0.6760787475178942	0.0002873416605116478	0.12441597671638359
LNC_L00037	ITGA2	0.5290017610830863	0.00786249247129625	0.42573118272603644
LNC_L00037	MAFB	0.6030515401299968	0.0018128821518658997	0.2621034436432626
LNC_L00037	TIMM21	-0.537691907890474	0.006730544976090718	0.40495809661080745
LNC_L00037	AP4E1	-0.5058254012913674	0.01167782731013528	0.4728630956734258
LNC_L00088	LTF	0.5097793563906424	0.010936296726240061	0.46653044137476596
LNC_L00088	PIGW	0.504244611144234	0.011985656133831967	0.47666736452937136
LNC_L00088	FAM78A	0.617834875156463	0.0012948309051812933	0.23231390365203816
LNC_L00088	CDKL5	0.6093686100460454	0.0015732092185258679	0.2538952045280413
LNC_L00088	SRPX2	0.6010066878953921	0.0018968511245084255	0.2665739468339896
LNC_L00088	SLA	0.5519940946411525	0.005164622061348053	0.38199799347003804
LNC_L00088	PUM3	0.5336939388511082	0.007233124596619702	0.4168899356711633
LNC_L00088	FSD1	-0.5277095839305056	0.008043599573971908	0.4286809307999313
LNC_L00088	RELB	0.5535271595516561	0.005016632067452399	0.37691300511245823
LNC_L00088	RAD54L2	0.5226223049409702	0.008790682470317935	0.44121354564576004
LNC_L00088	SMIM10L2A	0.5499101891944146	0.005371646516571236	0.3829122509297599
LNC_L00088	CNTNAP2	0.5120858984978466	0.010521981224288993	0.46187166390372497
LNC_L00088	TSHZ2	0.5124402093954794	0.01045950241525308	0.46180673290237106
LNC_L00088	AP5S1	0.5246985570037324	0.008479110080907008	0.43736802054089896
LNC_L00088	CFAP126	0.5327440424816974	0.007357024410223785	0.41896358054534955
LNC_L00088	PARS2	-0.5277095839305056	0.008043599573971908	0.4286809307999313
LNC_L00088	FBP1	0.5066378470721693	0.011522171863679648	0.47174314421340036
LNC_L00088	KIAA1217	0.61700039417957	0.00132024705138691	0.23249633609329232
LNC_L00088	XAF1	0.610803592066001	0.0015227135591970899	0.25148468662523565
LNC_L00088	RPUSD1	-0.6052720056745547	0.0017253137963953171	0.25879706945929754
LNC_L00088	PNPLA4	0.5624749951723136	0.004222073611981962	0.35715426324922944
LNC_L00088	EPHX4	0.610164206419647	0.0015450390551539808	0.25298885113632436
LNC_L00088	GRID2	-0.5277095839305056	0.008043599573971908	0.4286809307999313
LNC_L00088	TPD52L1	0.5523259856648084	0.005132277054962852	0.38084034683469925
LNC_L00088	ROGDI	-0.572383810014349	0.0034685707605010435	0.3304649640471834
LNC_L00088	OAS3	0.5658983149501626	0.00394753560336276	0.34613047044099354
LNC_L00088	ATXN3	0.5334951394519938	0.007258910059038655	0.4168899356711633
LNC_L00088	ARHGAP30	0.5499211194242838	0.005370542776127694	0.3829122509297599
LNC_L00088	FES	0.5145779218303831	0.010089011781819557	0.4576009663460274
LNC_L00088	BRIP1	0.5188533467001903	0.009380549961488599	0.45015879111632756
LNC_L00088	ZNF480	0.55888142270119	0.0045273933611791745	0.3660260272753134
LNC_L00088	GALM	0.5881763070892093	0.0025031612562218526	0.29698523378903335
LNC_L00088	TBR1	0.5008354847488594	0.012672299820692456	0.48277567956979567
LNC_L00088	BCL2A1	0.5093863344884741	0.011008218624038781	0.4681524756231881
LNC_L00088	ENOX2	0.622283937041241	0.0011662809429486374	0.2241821492166717
LNC_L00088	SRSF12	-0.5572188929417246	0.004674808441099012	0.3679920031133404
LNC_L00088	SEMA3C	-0.5091927578283671	0.011043785831051292	0.4681524756231881
LNC_L00088	CMPK2	0.5263741155649808	0.008234406160960606	0.43338979794529503
LNC_L00088	PICK1	0.5166901561902214	0.009733665454303118	0.4526312836251031
LNC_L00088	MRGBP	0.536199679514011	0.006914607000668099	0.40940992910277985
LNC_L00088	FAM181A	0.5068267647393445	0.011486223566198363	0.47158939598262095
