"ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0070230","positive regulation of lymphocyte apoptotic process","1/7","20/18860",0.05,134.714285714286,11.528438147459,0.00740071751829663,0.0474943096666023,0.0212375610507512,"MYC",1
"GO:0007517","muscle organ development","2/7","373/18860",0.00536193029490617,14.4465721945615,5.05418226773028,0.00767071911286433,0.0474943096666023,0.0212375610507512,"DISP1/MYC",2
"GO:0002902","regulation of B cell apoptotic process","1/7","21/18860",0.0476190476190476,128.299319727891,11.2466951557343,0.00776951767633072,0.0474943096666023,0.0212375610507512,"MYC",1
"GO:0035455","response to interferon-alpha","1/7","21/18860",0.0476190476190476,128.299319727891,11.2466951557343,0.00776951767633072,0.0474943096666023,0.0212375610507512,"MYC",1
"GO:0051132","NK T cell activation","1/7","21/18860",0.0476190476190476,128.299319727891,11.2466951557343,0.00776951767633072,0.0474943096666023,0.0212375610507512,"MYC",1
"GO:0071397","cellular response to cholesterol","1/7","21/18860",0.0476190476190476,128.299319727891,11.2466951557343,0.00776951767633072,0.0474943096666023,0.0212375610507512,"PTCH1",1
"GO:0042474","middle ear morphogenesis","1/7","22/18860",0.0454545454545455,122.467532467532,10.9842970683129,0.00813820037585145,0.0489583800388523,0.021892234929191,"MYC",1
"GO:0032986","protein-DNA complex disassembly","1/7","23/18860",0.0434782608695652,117.142857142857,10.7391194051395,0.00850676564803388,0.0496637867720664,0.022207664686301,"MYC",1
"GO:0010839","negative regulation of keratinocyte proliferation","1/7","24/18860",0.0416666666666667,112.261904761905,10.5093507553555,0.00887521352404685,0.0496637867720664,0.022207664686301,"PTCH1",1
"GO:0050678","regulation of epithelial cell proliferation","2/7","416/18860",0.00480769230769231,12.9532967032967,4.75034251387847,0.00947113612935749,0.0496637867720664,0.022207664686301,"PTCH1/MYC",2
"GO:0000729","DNA double-strand break processing","1/7","26/18860",0.0384615384615385,103.626373626374,10.0900307673188,0.00961175721221164,0.0496637867720664,0.022207664686301,"UBE2N",1
"GO:0001783","B cell apoptotic process","1/7","27/18860",0.037037037037037,99.7883597883598,9.89796742436313,0.00997985308666771,0.0496637867720664,0.022207664686301,"MYC",1
"GO:0002053","positive regulation of mesenchymal cell proliferation","1/7","27/18860",0.037037037037037,99.7883597883598,9.89796742436313,0.00997985308666771,0.0496637867720664,0.022207664686301,"MYC",1
"GO:0010875","positive regulation of cholesterol efflux","1/7","27/18860",0.037037037037037,99.7883597883598,9.89796742436313,0.00997985308666771,0.0496637867720664,0.022207664686301,"PTCH1",1
"GO:0044346","fibroblast apoptotic process","1/7","27/18860",0.037037037037037,99.7883597883598,9.89796742436313,0.00997985308666771,0.0496637867720664,0.022207664686301,"MYC",1
"GO:0036315","cellular response to sterol","1/7","28/18860",0.0357142857142857,96.2244897959184,9.71622501301023,0.0103478316895669,0.0496637867720664,0.022207664686301,"PTCH1",1
"GO:0048745","smooth muscle tissue development","1/7","28/18860",0.0357142857142857,96.2244897959184,9.71622501301023,0.0103478316895669,0.0496637867720664,0.022207664686301,"PTCH1",1
"GO:2000647","negative regulation of stem cell proliferation","1/7","28/18860",0.0357142857142857,96.2244897959184,9.71622501301023,0.0103478316895669,0.0496637867720664,0.022207664686301,"PTCH1",1
"GO:0003002","regionalization","2/7","440/18860",0.00454545454545455,12.2467532467532,4.59967141922639,0.0105516830356116,0.0496637867720664,0.022207664686301,"DISP1/PTCH1",2
"GO:0009410","response to xenobiotic stimulus","2/7","443/18860",0.00451467268623025,12.1638181231861,4.58166454206234,0.0106905111098982,0.0496637867720664,0.022207664686301,"PTCH1/MYC",2
"GO:0097421","liver regeneration","1/7","29/18860",0.0344827586206897,92.9064039408867,9.54390697046191,0.0107156930520441,0.0496637867720664,0.022207664686301,"PTCH1",1
"GO:1902914","regulation of protein polyubiquitination","1/7","29/18860",0.0344827586206897,92.9064039408867,9.54390697046191,0.0107156930520441,0.0496637867720664,0.022207664686301,"UBE2N",1
"GO:0045606","positive regulation of epidermal cell differentiation","1/7","30/18860",0.0333333333333333,89.8095238095238,9.38022218127331,0.0110834372052296,0.0496637867720664,0.022207664686301,"PTCH1",1
"GO:0060537","muscle tissue development","2/7","453/18860",0.00441501103752759,11.8953011668243,4.52287880778683,0.0111592619194374,0.0496637867720664,0.022207664686301,"PTCH1/MYC",2
"GO:0006505","GPI anchor metabolic process","1/7","31/18860",0.032258064516129,86.9124423963134,9.22446954641719,0.0114510641802462,0.0496637867720664,0.022207664686301,"PIGC",1
"GO:0006506","GPI anchor biosynthetic process","1/7","31/18860",0.032258064516129,86.9124423963134,9.22446954641719,0.0114510641802462,0.0496637867720664,0.022207664686301,"PIGC",1
"GO:0021522","spinal cord motor neuron differentiation","1/7","31/18860",0.032258064516129,86.9124423963134,9.22446954641719,0.0114510641802462,0.0496637867720664,0.022207664686301,"PTCH1",1
"GO:0060037","pharyngeal system development","1/7","31/18860",0.032258064516129,86.9124423963134,9.22446954641719,0.0114510641802462,0.0496637867720664,0.022207664686301,"PTCH1",1
