locus_id	SRR31451017	SRR31451018	SRR31451019	SRR31451020	SRR31451021	SRR31451022	SRR31451023	SRR31451024	SRR31451025	SRR31451026	SRR31451027	SRR31451028	SRR31451029	SRR31451030	SRR31451031	SRR31451032	SRR31451033	SRR31451034	SRR31451035	SRR31451036	SRR31451037	SRR31451038	SRR31451039	SRR31451040	SRR31451041	SRR31451042
LNC_L00264	355.3087984054156	0.0	0.0	1073.8625241733964	0.0	739.3781348725374	0.0	0.0	712.8039027132425	0.0	0.0	4967.720062433982	0.0	3878.2568031872406	0.0	2354.7838777123548	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LNC_L00267	1918.6674620295178	0.0	0.0	0.0	0.0	985.8375131633834	0.0	706.5597027568983	712.8025614469445	1590.9559440495748	1712.0459647091025	2128.0493937841825	1514.3531353994786	430.91742257636014	5837.936309821447	784.9279592374517	1559.432103563795	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LNC_L00268	0.0	0.0	0.0	0.0	0.0	0.0	0.0	706.6747214290058	712.8039027132425	1590.9559440495748	0.0	0.0	0.0	0.0	0.0	0.0	1169.5740776728462	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
LNC_L00269	947.4892254841071	432.05610645387344	0.0	671.1640776083726	851.9741886292175	2205.3124565726075	0.0	1719.5782945957906	1425.5370491850622	1590.9559440495748	0.0	354.83714731671296	0.0	323.18806693227	0.0	0.0	0.0	0.0	458.6134565019408	3198.9786836430303	381.2840661971921	0.0	332.1303109273744	345.27774280515195	726.9983657196004	0.0
LNC_L00270	0.0	0.0	0.0	0.0	1703.948377258435	0.0	8633.910785644146	16253.518592867133	0.0	0.0	0.0	0.0	504.7929271790398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	664.2606218547488	0.0	0.0	0.0
LNC_L00271	355.3087984054156	576.0748086051645	0.0	1058.7442809106487	1703.6710419105739	739.3781348725374	0.0	1413.1769148498504	475.1252576353569	0.0	287.0000004829232	354.83714731671296	252.39646358951987	323.1880669322701	810.9067032791985	784.9279592374517	779.7160517818975	4235.24886014081	3668.9076520155268	799.769077926075	1016.7575098591791	1378.3288407931575	3188.4509834380397	2055.30413055901	2907.046850423038	1625.6404080841057
LNC_L00272	1776.5439920270778	864.1122129077469	819.5602909090734	801.1561191077311	0.0	739.3781348725374	0.0	1060.0090902438938	0.0	0.0	6195.388353284797	2128.0493937841825	4038.3248229626756	2584.873308764934	4053.6477900342243	1569.8559184749033	0.0	1058.8122150352028	0.0	0.0	0.0	2756.655952540393	664.2606218547488	1381.1109712206078	969.3311542928003	542.0565867398644
LNC_L00273	0.0	0.0	0.0	0.0	0.0	7393.781348725374	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	784.9279592374517	0.0	0.0	0.0	0.0	0.0	0.0	664.2606218547488	0.0	0.0	0.0
LNC_L00275	80862.60344284296	9456.787648817124	9015.163199999806	16908.267786897813	17039.469344326655	12199.739225396868	17123.760575131957	19781.645707405674	17062.67418373859	15114.081468470964	63452.15035970002	18440.236509741768	18292.500770377857	6463.445725298788	16480.88496943832	83350.6187510667	12733.589200347615	5117.420039952856	10089.048178339084	5598.383539523782	8387.504760896436	4594.429469310526	5640.190490814723	7311.4289863425365	4360.570275634555	2980.827415859196
LNC_L00276	355.3087984054156	864.1122129077469	0.0	268.4656310433491	0.0	739.3781348725374	0.0	0.0	237.60130090441416	1590.9559440495748	2296.0000038633857	0.0	1514.3787815371195	0.0	2432.720109837596	784.9279592374517	0.0	0.0	917.2269130038819	2399.3072337782255	0.0	0.0	664.2606218547488	0.0	0.0	813.0848801097968
LNC_L00277	7461.484766513728	6048.785490354228	7376.04261818166	5369.312620866982	5111.845131775305	8872.53761847045	8633.910785644148	7066.747214290059	3088.816911757385	3181.9118880991496	5740.000009658464	9935.440124867964	5552.722198969438	6463.761338645402	5676.34692295439	3139.7118369498066	7017.444466037076	2117.6244300704057	2751.6807390116455	2399.3072337782255	3050.2725295775376	4594.429469310526	2657.0424874189953	1381.1109712206078	7269.983657196006	4065.4244005489845
LNC_L00279	355.3087984054156	0.0	819.5602909090734	805.3968931300473	2555.922565887653	2218.1344046176123	0.0	2473.36152500152	712.8039027132425	1590.9559440495748	2296.0000038633857	1419.3485892668518	2523.964635895199	1292.7522677290806	3243.626813116794	1569.8559184749033	0.0	1058.8122150352028	2751.6807390116455	0.0	0.0	0.0	1328.5212437094976	690.5554856103039	0.0	813.0848801097968
LNC_L00280	13501.734339405788	21602.805322693675	13932.524945454248	20671.853590337872	17891.45796121356	14048.184562578208	10552.557626898404	18020.20539643967	28274.554807625373	35001.03076909066	26404.000044428944	14193.485892668525	16153.373669729273	32965.182827091594	19461.760878700763	10988.991429324322	26900.20378647547	20117.432085668857	11923.949869050464	16795.15063644758	12201.09011831015	19296.603771104204	19263.558033787707	21407.220053919427	24717.944434466415	17074.78248230573
